index;Sijoitus;Nimi;Korkeus(m);Prominenssi;Sijainti;KKJ N;KKJ E;Huomautuksia
43;31;Muurivaara;841,5;116,5 Halti;Enontekiö;7661627;1502477;Sijaitsee Norjan rajalla.
44;32;Harroaivi;825,2;105,2 Halti;Enontekiö;7667507;1521924;
45;33;Saivaara;825,0;107,5 Halti;Enontekiö;7674297;1515565;Huipulla Urho Kekkosen muistolaatta.
46;34;Porovaara;818,4;133,4 Halti;Enontekiö;7673126;1520101;
47;35;Taivaskero;809,1;514,1 Halti;Muonio;7554370;2502419;Muonion korkein tunturi ja samalla korkein tunturi, joka ei sijaitse Enontekiöllä.
48;36;Marsoaivi;805,0;145 Ropi;Enontekiö;7630423;1530808;
49;37;Caibma;782,2;152,2 Halti;Enontekiö;7645911;1534008;
50;38;Laukukero;762,0;102 Taivaskero;Muonio;7553155;2501575;Pallaksen 2 hissiä ja 9 rinnettä sijaitsevat Laukukerolla
51;39;Leutsuvaara;743,3;183,3 Halti;Enontekiö;7648306;1497455;
52;40;Mukkavaara;742,5;137,5 Halti;Enontekiö;7646890;1501005;
53;41;Pikku-Malla;738,5;103,5 Iso-Malla;Enontekiö;7663995;1490099;
54;42;Lammasoaivi;736,9;236,9 Halti;Enontekiö;7633639;1514013;Tunturilla tuulivoimalapuisto.
55;43;Tarju;735,0;130 Ropi;Enontekiö;7626169;1538510;
56;44;Outtakka;725,0;330 Taivaskero;Enontekiö;7572128;2493055;
57;45;Yllästunturi;719,3;481,4 Halti;Kolari;7497484;2509738;Kolarin korkein tunturi.
58;46;Sokosti;718,0;438 Halti;Sodankylä;7570881;3547276;Itä-Lapin, Sodankylän ja Urho Kekkosen kansallispuiston korkein tunturi.
59;47;Pyhäkero (Ounastunturi);712,5;195 Outtakka;Enontekiö;7582332;2490746;
60;48;Latnjavarit;712,5;170 Halti;Enontekiö;7628341;1521580;
61;49;Palkaskero;705,0;205 Taivaskero;Muonio;7551981;2504199;
62;50;Ukselmapää;698,2;138,2 Sokosti;Sodankylä;7576767;3548814;
63;51;Vuomapää;691,3;291,3 Sokosti;Sodankylä;7565601;3556422;
64;NA;Kalkkoaivi;682,5;157,5 Halti;Enontekiö;7628557;1545485;
65;NA;Cukcoaivi;679,1;104,1 Halti;Enontekiö;7654922;1534786;
66;NA;Kuikkapää;679,0;304 Halti;Sodankylä;7579200;3557965;
67;NA;Suppivaara;675,8;138,3 Halti;Enontekiö;7642811;1510740;
68;NA;Sierkisvaarat;665,0;165 Halti;Enontekiö;7643717;1507545;
69;NA;Reututunturi;665,0;215 Vuomapää;Sodankylä;7568768;3561651;
